,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand_name,yn_new_price,loc_type
1007,5,10.165851817003619,Diesel,0,First,22.54,1396.0,88.73,5.0,6.2,Hyundai,0,metro 2
1008,1,9.356257246876337,Petrol,0,First,16.8,796.0,34.2,8.0,3.8,Maruti,0,emerging
1009,6,11.302204433654575,Diesel,0,First,25.2,1248.0,74.0,5.0,6.1,Maruti,0,metro 2
1010,1,10.049922830765674,Diesel,0,First,23.0,1498.0,98.96,5.0,11.65,Ford,1,emerging
1011,6,10.198244538659871,Petrol,1,First,16.5,1198.0,86.8,5.0,4.15,Honda,0,metro 1
1012,3,11.119719900617751,Diesel,0,First,13.68,2393.0,147.8,7.0,16.5,Toyota,1,metro 1
1013,12,12.078239274020289,Diesel,0,Second,10.5,2179.0,120.0,8.0,4.3,Mahindra,0,metro 2
1014,10,9.798127036878302,Petrol,0,First,18.5,1197.0,80.0,5.0,2.25,Hyundai,0,metro 1
1015,6,11.050937623287538,Diesel,0,First,22.32,1582.0,126.32,5.0,6.75,Hyundai,0,metro 2
1016,6,11.289781913656018,Diesel,0,First,15.1,2179.0,140.0,7.0,9.4,Mahindra,0,metro 1
1017,6,10.944788474491125,Diesel,0,First,20.64,1498.0,108.5,5.0,5.39,Volkswagen,1,emerging
1018,1,9.830486659651637,Diesel,0,First,26.59,1248.0,74.0,5.0,8.51,Maruti,0,emerging
1019,10,11.23446738704598,Petrol,0,First,13.7,1368.0,88.8,5.0,1.85,Tata,0,metro 2
1020,8,11.314474526246391,Diesel,0,Second,22.9,1248.0,74.0,5.0,2.5,Maruti,0,metro 1
1021,7,11.002099841204238,Diesel,0,First,22.07,1199.0,73.9,5.0,4.75,Volkswagen,0,metro 1
1022,11,11.835008964139341,Petrol,0,Second,17.0,1497.0,118.0,5.0,3.5,Honda,0,metro 2
1023,6,11.112447898373103,Diesel,0,First,23.0,1396.0,90.0,5.0,5.5,Hyundai,0,metro 2
1024,8,10.663124474364906,Petrol,0,First,17.0,1497.0,118.0,5.0,6.33,Honda,0,emerging
1025,6,10.866623701641787,Diesel,0,First,25.44,936.0,57.6,5.0,2.47,Chevrolet,0,emerging
1026,6,10.509359684984632,Petrol,0,First,16.2,995.0,62.1,5.0,3.3,Chevrolet,0,emerging
1027,9,11.251560700835821,Diesel,0,Second,11.57,2179.0,138.1,7.0,3.5,Tata,0,metro 1
1028,6,11.350406535472453,Diesel,1,First,11.3,2987.0,254.8,7.0,38.75,Mercedes-Benz,0,metro 1
1029,12,11.630708500626612,Diesel,1,First,11.5,2993.0,235.0,5.0,7.99,BMW,0,metro 2
1030,7,11.562401108430754,Diesel,0,First,14.24,2755.0,174.5,7.0,13.28,Toyota,1,emerging
1031,8,11.289781913656018,Petrol,1,First,11.25,1995.0,150.0,5.0,9.5,BMW,0,metro 2
1032,1,8.039802343736485,Diesel,0,First,20.37,1461.0,108.45,5.0,14.01,Renault,0,emerging
1033,4,9.592605086913911,Diesel,0,First,24.4,1120.0,71.0,5.0,6.99,Hyundai,0,emerging
1034,10,11.56171562913966,Diesel,1,Second,13.2,1995.0,170.0,5.0,11.0,BMW,0,metro 2
1035,12,11.018629143155449,Petrol,1,Second,10.8,2497.0,215.0,5.0,11.0,BMW,0,metro 2
1036,10,11.350947565559865,Petrol,0,Second,18.06,1198.0,75.0,5.0,2.3,Nissan,0,metro 2
1037,6,10.778956289890028,Diesel,1,First,16.36,2179.0,187.7,5.0,26.5,Jaguar,0,metro 1
1038,9,10.915088464214607,Diesel,1,First,10.2,4367.0,308.0,7.0,67.0,Land Rover,0,metro 2
1039,3,8.294049640102028,Petrol,1,First,16.0,1368.0,160.0,5.0,17.75,Jeep,1,metro 1
1040,10,11.451050061252142,Petrol,1,Second,10.1,2354.0,152.0,5.0,4.8,Honda,0,metro 1
1041,7,11.020430797888961,Petrol,0,First,18.6,1197.0,85.8,5.0,4.57,Maruti,0,emerging
1042,4,11.289781913656018,Diesel,0,First,24.4,1120.0,71.0,5.0,3.5,Hyundai,0,metro 1
1043,5,10.673364265954747,Diesel,0,First,19.01,1461.0,108.5,5.0,7.61,Nissan,0,emerging
1044,5,10.714417768752456,Diesel,1,First,18.25,1968.0,187.74,5.0,25.0,Audi,1,metro 2
1045,4,10.695982206596772,Petrol,0,First,18.9,1197.0,82.0,5.0,5.88,Hyundai,0,emerging
1046,5,11.343500389911293,Diesel,0,First,12.99,2494.0,100.6,8.0,13.5,Toyota,0,metro 2
1047,5,10.46310334047155,Petrol,0,First,18.5,1197.0,80.0,5.0,4.6,Hyundai,0,metro 1
1048,7,10.691944912900398,Diesel,0,First,22.77,1498.0,98.59,5.0,4.9,Ford,0,metro 1
1049,8,11.121880879523294,Petrol,0,First,17.0,1497.0,118.0,5.0,5.25,Honda,0,metro 2
1050,2,9.819290393735372,Petrol,1,First,14.8,1497.0,121.36,5.0,12.41,Ford,1,emerging
1051,6,10.46310334047155,Diesel,0,First,22.07,1199.0,73.9,5.0,3.8,Volkswagen,0,metro 1
1052,10,10.799575577092764,Diesel,1,First,19.27,2143.0,170.0,5.0,8.95,Mercedes-Benz,0,metro 1
1053,7,11.141861783579396,Diesel,0,First,22.7,1498.0,89.84,5.0,7.2,Ford,0,metro 2
1054,3,10.05311372649194,Petrol,0,First,14.4,1396.0,65.0,5.0,4.5,Tata,0,metro 2
1055,6,11.134034125797095,Diesel,0,First,26.59,1248.0,74.0,5.0,4.15,Maruti,0,metro 1
1056,4,11.220043228404824,Diesel,0,First,25.1,1248.0,88.5,5.0,7.94,Maruti,1,emerging
1057,6,11.407564949312402,Diesel,0,First,19.01,1461.0,108.45,5.0,7.25,Renault,0,metro 2
1058,4,9.998797732340453,Petrol,0,First,18.9,998.0,67.1,5.0,3.7,Maruti,0,metro 1
1059,10,10.971004692720294,Petrol,0,First,10.14,1086.0,62.0,5.0,2.45,Hyundai,0,metro 2
1060,9,11.603679828238693,Diesel,0,Third,25.44,936.0,57.6,5.0,1.5,Chevrolet,0,metro 1
1061,3,9.500244972781061,Diesel,0,First,16.0,1997.0,140.0,7.0,12.0,Mahindra,0,metro 1
1062,8,10.839580911706463,Petrol,0,Second,19.81,1086.0,68.05,5.0,2.2,Hyundai,0,metro 1
1063,13,11.542484267211773,Diesel,0,First,13.93,2179.0,138.0,7.0,3.6,Tata,0,metro 2
1064,11,10.669001905221974,Petrol,0,First,20.36,1197.0,78.9,5.0,1.92,Hyundai,0,metro 1
1065,4,11.589886506106357,Diesel,1,First,11.36,2755.0,171.5,7.0,20.5,Toyota,1,metro 2
1066,10,11.319425663745703,Diesel,0,First,17.5,1896.0,106.0,5.0,4.25,Skoda,0,emerging
1067,7,10.275051108968611,Petrol,0,First,18.9,1197.0,82.0,5.0,3.2,Hyundai,0,metro 1
1068,8,12.323855681186558,Diesel,0,Second,23.59,1364.0,76.91,5.0,2.6,Toyota,0,metro 2
1069,6,10.714417768752456,Diesel,0,First,23.4,1248.0,74.0,5.0,3.85,Maruti,0,metro 1
1070,10,11.444657330797734,Diesel,0,First,23.0,1396.0,90.0,5.0,3.48,Hyundai,0,emerging
1071,3,11.470038840567756,Diesel,0,Second,25.83,1498.0,99.0,5.0,4.55,Ford,0,metro 2
1072,4,11.77528972943772,Diesel,0,First,25.47,1248.0,88.5,7.0,7.0,Maruti,1,metro 2
1073,7,11.119038075672119,Diesel,0,First,20.77,1248.0,88.8,7.0,5.75,Maruti,0,metro 2
1074,4,10.77228827467366,Petrol,1,First,16.8,1497.0,116.3,5.0,8.73,Honda,0,emerging
1075,11,10.46310334047155,Petrol,0,First,19.7,796.0,46.3,5.0,1.7,Maruti,0,metro 2
1076,4,11.127262984158243,Diesel,1,First,10.91,3198.0,197.0,7.0,29.5,Ford,0,metro 2
1077,1,10.454149084799319,Diesel,0,First,24.3,1248.0,88.5,5.0,10.49,Maruti,1,emerging
1078,5,9.260272740724393,Petrol,1,First,8.6,2706.0,265.0,2.0,64.0,Porsche,0,metro 1
1079,4,10.968198289528557,Diesel,0,First,22.9,1248.0,74.0,5.0,7.55,Maruti,0,metro 2
1080,6,10.596634733096073,Petrol,0,First,17.57,1193.0,88.7,5.0,3.95,Tata,1,metro 1
1081,10,11.018629143155449,Petrol,0,Third,17.0,1197.0,80.0,5.0,3.25,Hyundai,0,metro 2
1082,11,11.362102575235644,Diesel,0,First,19.4,1422.0,70.0,5.0,2.75,Skoda,0,metro 1
1083,5,10.714417768752456,Diesel,0,First,21.43,1364.0,87.2,5.0,7.35,Toyota,0,metro 1
1084,3,10.915088464214607,Petrol,0,First,17.0,1198.0,73.75,5.0,4.7,Volkswagen,0,metro 2
1085,4,10.51474657362339,Petrol,0,Second,15.29,1591.0,121.3,5.0,8.77,Hyundai,0,emerging
1086,7,10.754087099210663,Petrol,0,First,20.36,1197.0,78.9,5.0,3.42,Hyundai,0,emerging
1087,5,11.695247021764184,Petrol,0,First,18.6,1199.0,76.8,5.0,2.5,Chevrolet,0,metro 1
1088,8,10.275051108968611,Diesel,1,First,14.74,2993.0,270.9,5.0,20.0,Jaguar,0,metro 1
1089,6,10.596634733096073,Petrol,0,First,13.24,1598.0,102.5,5.0,5.25,Nissan,0,metro 1
1090,7,11.002099841204238,Diesel,1,Second,15.73,1968.0,174.33,5.0,14.5,Audi,0,metro 1
1091,9,11.08189636473079,Petrol,1,First,16.95,1197.0,78.9,5.0,3.45,Hyundai,0,metro 1
1092,5,11.201005343265173,Petrol,1,First,24.07,998.0,67.1,5.0,3.3,Maruti,0,metro 2
1093,6,10.819778284410283,Diesel,1,First,11.33,4134.0,335.2,7.0,51.0,Audi,0,metro 2
1094,3,10.46310334047155,Diesel,0,First,24.3,1248.0,88.5,5.0,6.5,Maruti,1,metro 1
1095,7,9.782956995898381,Petrol,0,First,21.1,814.0,55.2,5.0,3.65,Hyundai,0,metro 2
1096,8,11.48246625748552,Diesel,0,First,20.0,1497.0,115.0,5.0,7.25,Mahindra,1,metro 1
1097,6,11.403266836757261,Diesel,0,First,22.0,1582.0,126.2,5.0,6.01,Hyundai,1,emerging
1098,5,9.546812608597396,Petrol,0,First,18.9,998.0,67.1,5.0,2.8,Maruti,0,metro 1
1099,8,10.819778284410283,Petrol,0,First,17.0,1197.0,80.0,5.0,4.0,Hyundai,0,metro 1
1100,6,11.043001832524663,Petrol,0,First,17.4,1497.0,117.3,5.0,5.95,Honda,0,metro 1
1101,9,12.421184025147118,Diesel,0,Second,12.8,2494.0,102.0,7.0,9.2,Toyota,0,metro 1
1102,8,11.460578984598019,Diesel,0,First,16.8,1493.0,110.0,5.0,5.35,Hyundai,0,metro 2
1103,3,10.915088464214607,Diesel,0,First,17.6,2179.0,153.86,7.0,12.0,Tata,1,metro 1
1104,5,10.891819837275253,Diesel,1,Second,12.07,2967.0,241.4,7.0,38.94,Audi,0,emerging
1105,12,10.895516355801455,Petrol,0,Second,18.9,998.0,67.1,5.0,2.69,Maruti,0,emerging
1106,7,10.976782033219948,Diesel,1,Second,17.09,1995.0,218.0,5.0,27.5,BMW,0,metro 2
1107,6,10.778956289890028,Petrol,0,First,18.0,1198.0,86.7,5.0,2.75,Honda,0,metro 1
1108,4,10.085809109330082,Petrol,0,First,24.7,796.0,47.3,5.0,2.8,Maruti,0,metro 1
1109,4,10.859018228147887,Petrol,0,First,17.01,1591.0,121.3,5.0,6.45,Hyundai,0,metro 1
1110,2,9.165865881874353,Petrol,0,First,23.84,1199.0,84.0,5.0,5.88,Tata,1,emerging
1111,7,10.402837582827095,Petrol,0,First,18.6,1197.0,85.8,5.0,4.65,Maruti,0,metro 2
1112,6,9.798127036878302,Petrol,0,First,21.1,814.0,55.2,5.0,2.5,Hyundai,0,emerging
1113,2,9.92554254331696,Petrol,1,First,12.6,1950.0,191.34,5.0,51.35,Mercedes-Benz,1,emerging
1114,4,10.404747571432418,Diesel,0,First,22.54,1396.0,88.73,5.0,6.85,Hyundai,0,metro 2
1115,8,10.778956289890028,Diesel,0,First,23.59,1364.0,67.05,5.0,5.25,Toyota,0,metro 1
1116,6,11.184726906881156,Diesel,0,First,21.43,1364.0,87.2,5.0,9.23,Toyota,0,emerging
1117,6,10.4341158035983,Diesel,1,First,20.7,1496.0,113.98,5.0,22.0,Mini,1,metro 2
1118,6,11.141861783579396,Diesel,0,First,20.14,1498.0,88.8,5.0,5.19,Volkswagen,0,metro 2
1119,11,11.589886506106357,Petrol,1,First,13.7,1798.0,157.75,5.0,4.35,Skoda,0,metro 2
1120,7,10.45449496593495,Diesel,1,First,10.0,2148.0,170.0,5.0,24.5,Mercedes-Benz,0,metro 2
1121,5,11.27720313144916,Diesel,0,First,17.8,1248.0,75.0,5.0,5.75,Maruti,0,metro 2
1122,4,10.971589085999216,Petrol,1,First,18.0,1497.0,117.3,5.0,9.19,Honda,0,emerging
1123,12,11.097410021008562,Petrol,1,Second,8.45,2979.0,321.0,5.0,10.75,BMW,0,metro 2
1124,11,11.002099841204238,Petrol,1,First,19.2,1197.0,80.0,5.0,2.99,Hyundai,0,metro 2
1125,6,10.950806546816688,Diesel,0,First,26.59,1248.0,74.0,5.0,3.89,Maruti,0,metro 1
1126,2,10.726675666147958,Diesel,0,First,26.0,1498.0,98.6,5.0,11.73,Honda,0,emerging
1127,4,10.917576276133584,Petrol,0,First,14.0,796.0,35.0,5.0,3.11,Maruti,0,emerging
1128,6,11.443843303782785,Diesel,0,Second,17.2,1968.0,138.1,5.0,14.45,Skoda,0,emerging
1129,2,10.545341438708522,Diesel,0,First,24.52,1248.0,88.5,7.0,8.7,Maruti,0,metro 2
1130,4,10.963670814584455,Diesel,0,First,24.0,1120.0,70.0,5.0,5.04,Hyundai,0,emerging
1131,3,10.552735090806054,Diesel,0,First,28.09,1248.0,88.5,5.0,8.5,Maruti,0,emerging
1132,6,11.06663836234181,Diesel,1,First,19.27,2143.0,170.0,5.0,15.65,Mercedes-Benz,0,metro 1
1133,5,10.373491181781864,Diesel,0,First,20.5,1248.0,91.72,5.0,5.65,Fiat,0,metro 1
1134,10,11.326595886778735,Petrol,1,First,10.93,2497.0,204.0,5.0,16.5,Mercedes-Benz,0,metro 2
1135,9,11.238488619268468,Gas,0,First,26.3,998.0,67.1,5.0,2.0,Maruti,0,metro 2
1136,8,11.115428526511241,Petrol,0,First,15.04,1598.0,103.6,5.0,3.9,Volkswagen,0,metro 2
1137,7,11.045398765599385,Diesel,1,First,18.88,1995.0,184.0,5.0,14.5,BMW,0,emerging
1138,5,9.735068900911164,Diesel,1,First,14.69,2993.0,258.0,5.0,44.0,BMW,0,metro 2
1139,3,9.044403844431551,Petrol,0,First,18.9,1197.0,81.86,5.0,5.0,Hyundai,1,metro 1
1140,4,11.141861783579396,Diesel,1,First,11.36,2755.0,171.5,7.0,19.75,Toyota,1,metro 2
1141,3,10.311948169624092,Diesel,1,First,19.6,1461.0,108.45,5.0,11.44,Renault,1,emerging
1142,9,11.695247021764184,Diesel,0,First,18.0,1248.0,75.0,5.0,1.75,Tata,0,metro 1
1143,7,10.043249494911286,Diesel,0,First,17.8,1248.0,77.88,5.0,5.6,Maruti,0,metro 2
1144,4,10.489578335799088,Petrol,0,First,12.3,1796.0,185.0,5.0,30.42,Mercedes-Benz,0,emerging
1145,7,11.667310403071161,Diesel,0,First,15.1,2179.0,140.0,7.0,9.57,Mahindra,0,emerging
1146,4,10.60777247750653,Diesel,0,First,15.96,2523.0,62.1,7.0,3.5,Mahindra,1,metro 1
1147,2,11.073738099457032,Diesel,0,First,24.3,1248.0,88.5,5.0,10.46,Maruti,1,emerging
1148,6,10.873925502480729,Diesel,0,First,20.5,1248.0,91.72,5.0,4.85,Fiat,0,metro 2
1149,4,10.852671327712308,Petrol,0,First,19.5,1199.0,88.76,5.0,5.68,Honda,1,emerging
1150,5,10.934409692234288,Petrol,1,First,13.7,1798.0,157.75,5.0,13.25,Skoda,0,metro 1
1151,9,11.082142548877775,Diesel,1,First,14.74,2993.0,270.9,5.0,16.0,Jaguar,0,metro 2
1152,7,11.27720313144916,Petrol,0,First,18.9,998.0,67.1,5.0,3.0,Maruti,0,metro 1
1153,13,10.673734653476922,Petrol,0,First,17.0,1086.0,62.28,5.0,0.99,Hyundai,0,metro 1
1154,10,11.159103590013903,Petrol,1,First,14.53,1798.0,138.1,5.0,5.0,Toyota,0,metro 1
1155,4,10.645424897265505,Petrol,0,First,16.1,1197.0,85.0,5.0,4.75,Maruti,0,metro 1
1156,6,11.03488966402723,Petrol,0,First,16.47,1198.0,74.0,5.0,5.35,Volkswagen,0,metro 2
1157,3,9.903487552536127,Petrol,0,First,18.9,1197.0,81.86,5.0,5.98,Hyundai,1,metro 2
1158,9,11.289781913656018,Diesel,0,Third,21.5,1248.0,88.8,5.0,3.5,Maruti,0,metro 1
1159,2,10.824447367258546,Petrol,0,First,18.9,1197.0,81.86,5.0,4.77,Hyundai,1,emerging
1160,4,10.819838282610355,Petrol,0,First,21.4,1197.0,83.1,5.0,5.45,Maruti,0,metro 1
1161,2,6.907755278982137,Petrol,1,First,20.3,1199.0,84.0,5.0,6.85,Tata,0,metro 2
1162,4,10.913213981195797,Diesel,1,First,26.59,1248.0,74.0,5.0,7.3,Maruti,0,emerging
1163,13,11.599057288599516,Petrol,0,First,15.3,1193.0,65.3,5.0,1.25,Tata,0,metro 2
1164,5,11.198214720130528,Diesel,0,First,22.7,1598.0,118.0,5.0,8.25,Maruti,0,metro 1
1165,12,11.082142548877775,Petrol,0,First,16.1,1298.0,88.2,5.0,2.71,Maruti,0,metro 2
1166,4,10.373491181781864,Petrol,0,First,19.1,1197.0,82.0,5.0,3.6,Hyundai,0,metro 1
1167,10,11.082142548877775,Petrol,0,First,18.5,1197.0,80.0,5.0,3.0,Hyundai,0,metro 2
1168,4,9.980448593672257,Petrol,1,First,23.1,998.0,67.04,5.0,4.65,Maruti,0,metro 2
1169,10,10.571316925111784,Diesel,1,First,14.84,2143.0,170.0,5.0,9.5,Mercedes-Benz,0,metro 1
1170,9,10.96949055763861,Petrol,0,First,17.5,1298.0,85.8,5.0,2.95,Maruti,0,metro 1
1171,9,10.968198289528557,Petrol,0,First,15.04,1598.0,103.6,5.0,3.0,Volkswagen,0,metro 1
1172,5,10.968198289528557,Diesel,0,First,25.2,1248.0,74.0,5.0,5.95,Maruti,0,metro 2
1173,12,11.396391648714276,Petrol,1,First,14.53,1798.0,138.1,5.0,4.0,Toyota,0,metro 1
1174,12,11.184421397998193,Petrol,0,First,13.5,1799.0,130.0,5.0,2.5,Honda,0,metro 1
1175,3,7.495541943884256,Petrol,1,First,16.05,1499.0,110.4,5.0,11.37,Ford,0,metro 1
1176,10,12.055540411225627,Diesel,0,Second,19.0,1248.0,93.0,5.0,2.25,Fiat,0,metro 2
1177,7,10.74138421698227,Petrol,0,First,19.81,1086.0,68.05,5.0,3.1,Hyundai,0,emerging
1178,6,11.372800956876063,Diesel,1,First,11.2,2400.0,215.0,5.0,17.18,Volvo,0,emerging
1179,2,8.517193191416238,Petrol,0,First,18.6,1197.0,81.83,5.0,6.5,Hyundai,0,emerging
1180,6,11.097410021008562,Diesel,0,First,26.0,1498.0,98.6,5.0,5.7,Honda,0,metro 2
1181,7,11.686878772093667,Diesel,0,First,12.99,2494.0,100.0,8.0,8.0,Toyota,0,metro 2
1182,4,10.714417768752456,Petrol,0,First,25.17,799.0,53.3,5.0,2.6,Renault,0,metro 1
1183,11,11.099665052270861,Petrol,0,First,19.0,998.0,66.1,5.0,2.45,Maruti,0,metro 2
1184,6,10.647090176584566,Petrol,1,First,14.8,1595.0,120.7,5.0,11.57,Mercedes-Benz,0,emerging
1185,8,10.477372478935242,Petrol,0,First,18.9,998.0,67.1,5.0,2.3,Maruti,0,metro 1
1186,4,10.63248438598977,Diesel,0,First,25.2,1248.0,74.0,5.0,5.9,Maruti,0,emerging
1187,5,10.611523345589823,Petrol,1,First,17.0,1591.0,121.3,5.0,7.2,Hyundai,1,metro 1
1188,7,11.37366339763672,Diesel,1,First,22.0,1582.0,126.2,5.0,5.9,Hyundai,1,metro 2
1189,6,10.308952660644293,Petrol,0,Second,16.8,1497.0,116.3,5.0,6.0,Honda,0,metro 1
1190,10,10.2068830204074,Petrol,0,First,16.0,1086.0,66.7,5.0,1.95,Hyundai,0,metro 1
1191,4,10.891205523751276,Diesel,0,First,23.59,1364.0,67.04,5.0,6.55,Toyota,0,emerging
1192,5,10.839580911706463,Diesel,1,First,27.03,1969.0,190.0,5.0,25.0,Volvo,1,metro 2
1193,8,10.50621756297161,Diesel,0,First,20.0,1399.0,68.05,5.0,2.65,Ford,0,metro 1
1194,3,9.615805480084347,Diesel,1,First,13.0,2987.0,265.0,5.0,69.5,Mercedes-Benz,0,metro 1
1195,8,11.082142548877775,Diesel,1,First,22.69,1995.0,190.0,5.0,14.0,BMW,1,metro 1
1196,6,10.373491181781864,Petrol,0,Second,22.74,796.0,47.3,5.0,2.1,Maruti,0,metro 2
1197,3,10.102051484875947,Diesel,0,First,13.68,2393.0,147.8,7.0,20.4,Toyota,1,metro 2
1198,1,6.907755278982137,Petrol,0,First,18.78,999.0,75.0,5.0,5.68,Volkswagen,1,metro 2
1199,6,10.248423867569471,Petrol,0,First,13.24,1598.0,102.5,5.0,5.55,Nissan,0,metro 1
1200,7,10.985292722887856,Diesel,0,First,13.5,2477.0,175.56,7.0,12.75,Mitsubishi,1,metro 1
1201,8,11.429543856031177,Petrol,0,Second,14.8,1799.0,130.2,5.0,3.35,Honda,0,metro 1
1202,7,10.947995582211037,Petrol,0,First,22.74,796.0,47.3,5.0,1.55,Maruti,0,metro 1
1203,7,11.04685010994231,Diesel,0,Second,20.54,1598.0,103.6,5.0,5.9,Volkswagen,0,emerging
1204,8,11.472103470449973,Diesel,1,First,12.35,2179.0,187.74,5.0,18.98,Land Rover,0,metro 2
1205,6,10.085809109330082,Petrol,0,First,13.7,1997.0,153.86,5.0,11.51,Honda,0,metro 1
1206,4,10.896739325546411,Diesel,0,First,20.77,1248.0,88.76,7.0,7.75,Maruti,0,metro 1
1207,4,11.407564949312402,Diesel,0,First,12.99,2494.0,100.6,7.0,13.9,Toyota,0,metro 1
1208,10,10.596634733096073,Petrol,0,First,15.0,1368.0,90.0,5.0,1.35,Tata,0,metro 1
1209,5,11.096470185562161,Diesel,1,Second,12.07,2967.0,241.4,7.0,38.0,Audi,0,metro 1
1210,3,9.686574550972555,Petrol,1,First,17.1,1591.0,121.4,5.0,11.6,Hyundai,0,metro 1
1211,3,8.1886891244442,Diesel,1,First,21.5,1498.0,108.5,5.0,12.25,Volkswagen,0,metro 2
1212,9,10.858998997563564,Petrol,0,First,17.0,1497.0,118.0,5.0,3.8,Honda,0,emerging
1213,6,10.896739325546411,Diesel,0,First,20.0,1399.0,68.05,5.0,3.25,Ford,0,metro 1
1214,4,9.642057851228413,Petrol,0,First,18.7,1199.0,88.7,5.0,6.4,Honda,0,metro 1
1215,8,11.225243392518447,Petrol,0,Second,16.47,1198.0,73.9,5.0,3.95,Volkswagen,0,metro 2
1216,10,11.248334723741845,Petrol,0,First,17.4,1497.0,117.3,5.0,3.57,Honda,0,metro 1
1217,15,10.933106969717286,Petrol,0,Second,17.7,1497.0,78.0,5.0,1.25,Honda,0,metro 1
1218,5,11.156250521031495,Gas,0,First,26.2,998.0,58.2,5.0,3.65,Maruti,0,metro 2
1219,7,10.739110381342828,Petrol,1,Second,12.0,2354.0,187.4,5.0,12.5,Honda,0,metro 1
1220,6,10.46310334047155,Diesel,1,Second,18.12,1995.0,190.0,5.0,23.0,BMW,0,metro 2
1221,17,11.289781913656018,Diesel,0,Third,12.8,1489.0,35.5,5.0,1.35,Ambassador,0,metro 1
1222,8,11.046579139627841,Diesel,0,First,12.05,2179.0,120.0,8.0,6.32,Mahindra,0,emerging
1223,8,10.4341158035983,Diesel,0,First,20.54,1598.0,103.6,5.0,3.4,Volkswagen,0,metro 1
1224,21,11.156250521031495,Petrol,0,Second,17.3,993.0,60.0,5.0,0.77,Maruti,0,emerging
1225,11,10.373491181781864,Petrol,0,First,16.1,796.0,37.0,4.0,0.9,Maruti,0,emerging
1226,3,9.95227771670556,Petrol,1,First,14.28,1798.0,138.03,5.0,18.0,Toyota,1,metro 1
1227,7,10.799575577092764,Petrol,1,First,14.59,1997.0,245.0,5.0,19.0,BMW,0,metro 2
1228,13,10.596634733096073,Petrol,0,Third,13.8,1299.0,70.0,5.0,1.1,Ford,0,metro 1
1229,8,11.26446410567173,Petrol,0,Second,18.6,1199.0,79.4,5.0,2.0,Chevrolet,0,metro 2
1230,8,10.858998997563564,Diesel,0,First,21.43,1364.0,86.79,5.0,6.5,Toyota,1,metro 2
1231,6,11.085414114542965,Diesel,0,First,16.0,2179.0,140.0,7.0,9.45,Mahindra,0,metro 2
1232,4,12.043553716032399,Diesel,0,First,24.4,1120.0,71.0,5.0,4.0,Hyundai,0,metro 1
1233,3,10.515533131659032,Diesel,1,First,13.0,2143.0,204.0,5.0,32.25,Mercedes-Benz,0,emerging
1234,11,11.042921835724492,Petrol,0,First,20.36,1197.0,78.9,5.0,2.1,Hyundai,0,metro 2
1235,5,11.127262984158243,Petrol,1,Second,14.28,1798.0,138.03,5.0,9.75,Toyota,0,metro 1
1236,6,10.615162037709958,Petrol,0,First,14.53,1798.0,138.0,5.0,6.3,Toyota,0,metro 1
1237,7,11.002099841204238,Diesel,1,First,17.32,1968.0,184.0,5.0,21.0,Audi,0,metro 2
1238,6,9.425451751593128,Diesel,0,First,21.9,1396.0,88.8,5.0,4.65,Hyundai,0,metro 1
1239,7,11.37366339763672,Diesel,1,Second,19.27,2143.0,167.62,5.0,17.0,Mercedes-Benz,0,metro 1
1240,7,9.91581130222496,Diesel,0,First,21.1,1248.0,73.9,5.0,4.35,Maruti,0,metro 2
1241,3,10.866337390190237,Diesel,0,First,19.67,1582.0,126.2,5.0,14.82,Hyundai,0,emerging
1242,2,6.907755278982137,Diesel,1,First,13.6,1999.0,177.0,5.0,40.0,Jaguar,1,metro 1
1243,4,11.350406535472453,Diesel,0,First,14.95,2489.0,93.7,7.0,6.15,Mahindra,1,metro 1
1244,6,10.757902880692196,Diesel,0,First,12.99,2494.0,100.6,7.0,11.25,Toyota,0,metro 2
1245,2,9.774801544908083,Petrol,1,First,19.16,2494.0,157.7,5.0,32.0,Toyota,0,metro 2
1246,2,10.388872283820167,Diesel,1,First,13.22,2967.0,241.4,5.0,45.62,Audi,0,emerging
1247,3,10.451984613023129,Diesel,0,First,28.4,1248.0,74.0,5.0,6.24,Maruti,1,emerging
1248,5,11.938193200374572,Diesel,0,First,20.77,1248.0,88.76,7.0,4.8,Maruti,0,metro 1
1249,6,10.896739325546411,Petrol,0,Second,16.1,1197.0,85.0,5.0,4.5,Maruti,0,metro 1
1250,5,9.735068900911164,Petrol,0,First,20.36,1197.0,78.9,5.0,3.87,Hyundai,0,emerging
1251,7,11.040262302298586,Petrol,0,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,0,metro 1
1252,2,10.073820870018016,Petrol,0,First,21.4,1197.0,83.1,5.0,6.57,Maruti,0,emerging
1253,10,10.8652295473142,Petrol,0,First,16.36,1495.0,93.7,5.0,2.0,Hyundai,0,emerging
1254,8,10.819778284410283,Petrol,0,First,19.4,1198.0,86.8,5.0,3.65,Honda,0,metro 2
1255,4,10.928560937869367,Diesel,0,First,22.9,1248.0,74.0,5.0,6.95,Maruti,0,metro 2
1256,6,10.896739325546411,Petrol,0,First,20.14,1197.0,81.86,5.0,5.5,Hyundai,1,metro 2
1257,7,10.668955394675699,Diesel,0,First,16.0,2179.0,140.0,7.0,7.0,Mahindra,0,metro 1
1258,6,10.596634733096073,Diesel,1,First,13.0,2143.0,201.1,5.0,24.0,Mercedes-Benz,0,metro 1
